品種ｺｰﾄﾞ,品種名,品種名(送り状),ﾌﾘｶﾞﾅ,業者ｺｰﾄﾞ,ｸﾞﾙｰﾌﾟｺｰﾄﾞ,商品課税区分,標準単価,売上単価,標準原価,仕入原価,ﾛｲﾔﾘﾃｨ,階級ﾊﾟﾀｰﾝｺｰﾄﾞ,boxtype_from_variety,item,boxtype
2098,大箱　ﾊﾞﾙﾃｨｶ　ﾋﾟﾝｸ,バルティカ　ピンク,ｵｵﾊﾞｺ ﾊﾞﾙﾃｨｶ ﾋﾟﾝｸ,5,2,0,0,0,0,0,2.1,2,大箱,スプレー,大箱
2096,大箱　ﾊﾞﾙﾃｨｶ　ﾎﾜｲﾄ,バルティカ　ホワイト,ｵｵﾊﾞｺ ﾊﾞﾙﾃｨｶ ﾎﾜｲﾄ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
94450,大箱　ﾊﾟﾙﾑ　ｸﾞﾘｰﾝ,パルム　グリーン,ｵｵﾊﾞｺ ﾊﾟﾙﾑ ｸﾞﾘｰﾝ,1,94,0,0,0,0,0,2,94,大箱,ポンポン,北海道大箱
2407,大箱　ﾊﾟﾚｱ,パレア,ｵｵﾊﾞｺ ﾊﾟﾚｱ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
40053,大箱　ﾊﾟﾚｱ(定期),パレア(定期),ｵｵﾊﾞｺ ﾊﾟﾚｱﾃｲｷ,1,40,0,0,0,0,0,2,40,大箱,スプレー(定期),大箱
2400,大箱　ﾊﾟﾚｯﾄ,パレット,ﾀﾞｲ ﾊﾟﾚｯﾄ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2910,大箱　ﾊﾟﾚｯﾄ(定期),パレット(定期),ｵｵﾊﾞｺ ﾊﾟﾚｯﾄﾃｲｷ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
40050,大箱　ﾊﾟﾚｯﾄ(定期),パレット(定期),ｵｵﾊﾞｺ ﾊﾟﾚｯﾄﾃｲｷ,1,40,0,0,0,0,0,2,40,大箱,スプレー(定期),大箱
2294,大箱　ﾊﾟﾝﾃｵﾝ,パンテオン,ｵｵﾊﾞｺ ﾊﾟﾝﾃｵﾝ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2043,大箱　ﾋﾞｱﾘｯﾂ,ビアリッツ,ｵｵﾊﾞｺ ﾋﾞｱﾘｯﾂ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2044,大箱　ﾋﾞｱﾘｯﾂ　ｲｴﾛｰ,ビアリッツ　イエロー,ｵｵﾊﾞｺ ﾋﾞｱﾘｯﾂ ｲｴﾛｰ,5,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
8122,大箱　ﾋﾟｴﾛ,ピエロ,ｵｵﾊﾞｺ ﾋﾟｴﾛ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2440,大箱　ﾋﾟｻ,ピサ,ｵｵﾊﾞｺ ﾋﾟｻ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2334,大箱　ﾋﾟｻﾝ,ピサン,ｵｵﾊﾞｺ ﾋﾟｻﾝ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
2215,大箱　ﾋﾗﾘｰ,ヒラリー,ｵｵﾊﾞｺ ﾋﾗﾘｰ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2901,大箱　ﾋﾗﾘｰ(定期),ヒラリー(定期),ｵｵﾊﾞｺ ﾋﾗﾘｰﾃｲｷ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
40002,大箱　ﾋﾗﾘｰ(定期),ヒラリー(定期),ｵｵﾊﾞｺ ﾋﾗﾘｰﾃｲｷ,1,40,0,0,0,0,0,2,40,大箱,スプレー(定期),大箱
8033,大箱　ﾋﾟﾝｷｰﾛｯｸ,ピンキーロック,ｵｵﾊﾞｺ ﾋﾟﾝｷｰ^ﾛｯｸ,5,8,0,0,0,0,0,2,8,大箱,ポンポン(小輪),大箱
2265,大箱　ﾋﾟﾝｸﾑｰﾝ,ピンクムーン,ｵｵﾊﾞｺ ﾋﾟﾝｸﾑｰﾝ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
2210,大箱　ﾌｧﾙｺﾝ,ファルコン,ｵｵﾊﾞｺ ﾌｧﾙｺﾝ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
8029,大箱　ﾌｨｰﾘﾝｸﾞ　ｸﾞﾘｰﾝ,フィーリング　グリーン,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ｸﾞﾘｰﾝ,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
14031,大箱　ﾌｨｰﾘﾝｸﾞ　ｸﾞﾘｰﾝ,フィーリング　グリーン,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ｸﾞﾘｰﾝ,2,14,0,0,0,0,0,2.2,14,大箱,Disbud,大箱
8030,大箱　ﾌｨｰﾘﾝｸﾞ　ｸﾞﾘｰﾝⅡ,フィーリング　グリーンⅡ,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ｸﾞﾘｰﾝ2,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
8027,大箱　ﾌｨｰﾘﾝｸﾞ　ｻﾆｰ,フィーリング　サニー,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ｻﾆｰ,2,8,0,0,0,0,0,1.8,8,大箱,ポンポン(小輪),大箱
8028,大箱　ﾌｨｰﾘﾝｸﾞ　ﾊﾟｰﾙ,フィーリング　パール,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ﾊﾟｰﾙ,2,8,0,0,0,0,0,1.8,8,大箱,ポンポン(小輪),大箱
8026,大箱　ﾌｨｰﾘﾝｸﾞ　ﾎﾜｲﾄ,フィーリング　ホワイト,ｵｵﾊﾞｺ ﾌｨｰﾘﾝｸﾞ ﾎﾜｲﾄ,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
2233,大箱　ﾌﾟｰﾏ,プーマ,ｵｵﾊﾞｺ ﾌﾟｰﾏ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
14032,大箱　ﾌｴｺﾞ　ﾀﾞｰｸ,フエゴ　ダーク,ｵｵﾊﾞｺ ﾌｴｺﾞ,5,14,0,0,0,0,0,2,14,大箱,Disbud,大箱
8102,大箱　ﾌｪﾘｰ,フェリー,ｵｵﾊﾞｺ ﾌｪﾘｰ,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
11102,大箱　ﾌｪﾘｰ,フェリー,ｵｵﾊﾞｺ ﾌｪﾘｰ,2,11,0,0,0,0,0,2.2,11,大箱,ポンポン(大輪),大箱
94301,大箱　ﾌｪﾘｰ,フェリー,ｵｵﾊﾞｺ ﾌｪﾘｰ,2,94,0,0,0,0,0,1.85,94,大箱,ポンポン,北海道大箱
2047,大箱　ﾌｪﾘｽｵｰﾗ,フェリスオーラ,ｵｵﾊﾞｺ ﾌｪﾘｽ ｵｰﾗｵｰﾗ,2,2,0,0,0,0,0,1.7,2,大箱,スプレー,大箱
2048,大箱　ﾌｪﾘｽﾊｰﾓﾆｰ,フェリスハーモニー,ｵｵﾊﾞｺ ﾌｪﾘｽﾊｰﾓﾆｰ,2,2,0,0,0,0,0,1.7,2,大箱,スプレー,大箱
2231,大箱　ﾌﾟﾗﾈｯﾄ,プラネット,ｵｵﾊﾞｺ ﾌﾟﾗﾈｯﾄ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
2331,大箱　ﾌﾘﾙｸﾞﾘｰﾝ,フリルクリーン,ｵｵﾊﾞｺ ﾌﾘﾙｸﾞﾘｰﾝ,2,2,0,0,0,0,0,2.2,2,大箱,スプレー,大箱
2200,大箱　ﾌﾟﾘﾝｽ,プリンス,ﾀﾞｲﾀﾞｲ ﾌﾟﾘﾝｽ,1,2,0,0,0,0,0,1,2,大箱,スプレー,大箱
